Model,CV Accuracy Mean,CV Macro Precision Mean,CV Macro Recall Mean,CV Macro F1 Mean,CV Macro F1 Std,CV Weighted F1 Mean
SVM RBF,0.58623389935407,0.6661694371097686,0.5789570983170395,0.5601253181381762,0.12659206945377952,0.5617351138534454
LogisticRegression,0.556539829895718,0.5994657408829382,0.5483261802376941,0.5204981469842753,0.16608344405583805,0.5207779082182431
ExtraTrees,0.5437838454814361,0.5741039480432828,0.537251679920663,0.5132661119330576,0.1458123158934739,0.5144673603932153
XGBoost,0.5384871026140491,0.5745665772609374,0.531995147217368,0.5082756362910492,0.13292911808096147,0.510125602222036
RandomForest,0.5212250904939003,0.5662846629267817,0.5157410240883846,0.49801848834736095,0.15083396721740155,0.4991350589071404
DummyClassifier,0.2659374206011286,0.06648435515028216,0.25,0.1049771211455647,0.005390192198475837,0.11196635661999857
