class,precision,recall,f1_score,support
correct,0.875,0.936046511627907,0.9044943820224719,172
forward_slouch,0.56353591160221,0.7727272727272727,0.6517571884984026,132
lean_left,0.9949238578680203,0.8672566371681416,0.9267139479905437,226
lean_right,0.7034482758620689,0.576271186440678,0.6335403726708074,177
