person_id,samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
person01,148,0.7972972972972973,0.7948500282965478,0.7713465691879468,0.6676306528900868,0.7689728981002565
person10,307,0.745928338762215,0.7837037037037037,0.7793712316968131,0.7448516071394328,0.7515924951714961
person12,252,0.8492063492063492,0.8880730380730381,0.8531645053421417,0.851527163663741,0.8516926931124676
